SKU,Almacen,Cantidad_Disponible,Ubicacion
ZAP-001,ALM-CENTRAL,120,A-12-04
ZAP-001,ALM-NORTE,45,B-01-02
ZAP-001,ALM-SUR,10,S-05-01
ZAP-002,ALM-SUR,300,D-10-10
ZAP-002,ALM-CENTRAL,50,A-05-02
ZAP-003,ALM-CENTRAL,15,A-08-01
ACC-452,ALM-CENTRAL,10,C-05-01
ACC-452,ALM-NORTE,5,B-02-09
ACC-101,ALM-SUR,500,S-11-01
ACC-101,ALM-CENTRAL,200,A-20-03
ACC-202,ALM-CENTRAL,80,A-20-04
ZAP-999,ALM-NORTE,2,B-99-99
HER-001,ALM-CENTRAL,30,H-01-01
HER-002,ALM-CENTRAL,12,H-01-02
HER-003,ALM-NORTE,25,B-05-05
ROPA-01,ALM-SUR,150,S-01-01
ROPA-01,ALM-CENTRAL,40,A-30-01
ROPA-02,ALM-SUR,200,S-01-02
LIM-01,ALM-CENTRAL,60,L-01-01
LIM-02,ALM-CENTRAL,100,L-01-02
OFF-01,ALM-SUR,5,S-90-01
OFF-01,ALM-CENTRAL,2,A-90-01
ZAP-001,ALM-RESERVADO,300,R-01-01
ACC-202,ALM-NORTE,15,B-02-10
HER-001,ALM-SUR,8,S-05-05
